rank,uid,username,type
1,66621878,霊音はなこ,总督
2,13475303,米汀的小笼包,总督
3,4563491,代步车01,总督
4,3546589241019107,米汀家的月饼晴朗,提督
5,26531557,-アナスタシア-,提督
6,10788384,soulのtouch,提督
7,38739372,_渚风,提督
8,530596,bili_530596,提督
9,1272304314,露染zzz,提督
10,7180032,无为無為,提督
11,351531386,invins-,提督
12,628996143,オフライン,提督
13,6969680,周新宇,提督
14,1845506,卡恰__,提督
15,87618298,步信崇明,提督
16,25942909,鸦天狗狗文,提督
17,1979338810,LionPoii,提督
18,360569,米汀家的夜阑梦雪,提督
19,3493120266209851,喵嗚嘎嗚嘰哩咕嚕噠噠,提督
20,202460,qwertxyk,提督
21,202329,若雪,舰长
22,14153130,情緒依存,舰长
23,6606769,Akananae,舰长
24,81210807,一缕清风随风逝,舰长
25,3546623420402419,薰_薰_纸nya,舰长
26,499032978,Porco-www,舰长
27,6580838,兰卡只会黑听,舰长
28,13135276,顾萌Komoe,舰长
29,6830657,-月见小亦-,舰长
30,494678,Pandator,舰长
31,366450460,自然立法者,舰长
32,182148534,-梣桸-,舰长
33,11283433,業風,舰长
34,11795901,攀兔毛者,舰长
35,85590833,无理数mio,舰长
36,1878939,破破破破破cd,舰长
37,2396905,闌珊凨雨,舰长
38,17558893,十文字-疾风,舰长
39,25593802,同调群单推人,舰长
40,71537139,゙黑貓,舰长
41,1977481159,落烨了吗,舰长
42,5667363,关心坐骨神经疼,舰长
43,35520443,不二楠,舰长
44,5630092,米汀家的良生,舰长
45,5317908,Rayqua,舰长
46,15845,春日花抄_,舰长
47,241942616,ワルター,舰长
48,7405415,夜の_,舰长
49,3494368814041805,傀诺equinox,舰长
50,882255,叫我丶呵呵,舰长
51,5960988,下位替代与自知之明,舰长
52,2971220,ユメうつつ,舰长
53,3493084472019038,薄荷糖8辣,舰长
54,229087540,櫻花閃閃,舰长
55,2097870821,白天LightSky,舰长
56,20877518,河蟹君血型O,舰长
57,8969216,苏趴米帕,舰长
58,1698435,吕同学_リッキー,舰长
59,19884007,南风入弦丶l,舰长
60,137380440,无话可嗦OvO,舰长
61,556570,Shiro_Yaya,舰长
62,4345986,丢失的风儿,舰长
63,5933816,是蔡叔叔呀,舰长
64,3494351019707331,仿生電子面包,舰长
65,1488162122,Alexsib家的米垃圾,舰长
66,4897,宫古芳香,舰长
67,506331,幻与樱,舰长
68,9127166,Kokoa9,舰长
69,7037193,bluepudding,舰长
70,2871839,淡定の立华奏,舰长
71,503,流河,舰长
72,925,911,舰长
73,12532750,薛定谔の波斯猫,舰长
74,14860339,超高校級貓耳响,舰长
75,370409298,幸运矿石,舰长
76,415469534,BroccoIi-,舰长
77,266375,咕咕-咕咕咕咕咕-咕,舰长
78,1961645,名字真难取饿,舰长
79,349880406,夜夢YuMe_ちゃん,舰长
80,1477811,穗状星序,舰长
81,773898,鲨鲨痛饮长岛冰茶,舰长
82,372661,宍戸若葉,舰长
83,453196,-kenjoy-,舰长
84,35610072,寒星Coldstar_QAQ,舰长
85,159019,九重雪会,舰长
86,287809472,艦こわのcollection,舰长
87,10093973,某_君,舰长
88,102615,疯子orz,舰长
89,224656237,童话避难所,舰长
90,351192397,20644862174_bili,舰长
91,375800639,灯光汪,舰长
92,2268148,卡奥斯教授,舰长
93,12211712,鲁伯特之泪68,舰长
94,11790018,吃一口奶团,舰长
95,434915,星月凛,舰长
96,26284784,晨曦在海上,舰长
97,210653,晴色,舰长
98,536365,鸢尾百合,舰长
99,288769051,不存在于诞下我的世界,舰长
100,384739919,小奕ヤ,舰长
101,13071607,风见见见子,舰长
102,642499149,-烤毛怪-,舰长
103,107200480,星空下的永恒誓言,舰长
104,9161100,鸟是一个词,舰长
105,10261329,yukino-雪之下雪乃,舰长
106,8931117,三色青羽,舰长
107,2251909,王一川卅,舰长
108,1760794230,弥弥御用钢矛护理师,舰长
109,7474766,宴泽feastum,舰长
110,3546570272278940,悲伤的风子,舰长
111,364733884,-修修补补-,舰长
112,6771127,英桑ww,舰长
113,14378626,昼星轨,舰长
114,71606673,芝士贝贝鲨,舰长
115,11554146,伴舞者纠结,舰长
116,12276598,_雨晴__,舰长
117,353652,saber2000,舰长
